,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
EXE,ExeCoin,Scrypt,True,PoW,,21000000 
EZC,EZCoin,Scrypt,True,PoW,,84000000
FLAP,Flappy Coin,Scrypt,True,PoW,0,100000000000
FC2,Fuel2Coin,X11,True,PoS,0,100000000
FFC,FireflyCoin,SHA-256,True,PoW,,700000000000
FIBRE,FIBRE,NIST5,True,PoW/PoS,0,624000
FRC,FireRoosterCoin,SHA-256,True,PoW,0,2602410
FLT,FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,True,PoW,1142732.14912776,11235813
FRAC,FractalCoin,X11,True,PoW,,1000000
FSTC,FastCoin,Scrypt,False,PoW,,165888000
FTC,FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000
